domains,unicode,descript-IDNA,translate-IDNA,tags
livenewsmedia,,,,
w3btek,,,,
vergalden,,,,
oceanlogistic,,,,
kindthal,,,,
floodwater,,,,
p414p,,,,5C
vvwww,,,,5L
monosyllabism,,,,
termsea,,,,
kathrynai,,,,
wallsee,,,,
biarchy,,,,
d414b,,,,5C
chandrahar,,,,
saliant,,,,
interlabial,,,,
naturetravels,,,,
nft-goats,,,,
outdared,,,,
ezgolf,,,,
hmart,,,,5L
petlife,,,,
z414z,,,,5C
xn--r77hna502a,🇺🇳😀,REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER N + GRINNING FACE,,PUNY_IDNA
yachtcam,,,,
wagendorf,,,,
xn--ihqw43bt1a,悔不归,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
waymaps,,,,
blameme,,,,
gardenoffice,,,,
ceddawicked,,,,
gypsology,,,,
xn--7or316ba,木木古,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
caravancamping,,,,
xn--rsvx71g,构造,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
genepublic,,,,
linkmate,,,,
ecowhales,,,,
xn--rss99nx8o,恒天然,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
meaner,,,,
shitcreek,,,,
fretent,,,,
naturalgoals,,,,
xn--hpab728el9qf0l,ʕಠᴥ✯ʔ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE + KANNADA LETTER TTHA + LATIN LETTER AIN + PINWHEEL STAR + LATIN LETTER GLOTTAL STOP,,PUNY_IDNA
nexuses,,,,
xn--5i8hhe,🎣🍟,"Letters + FISHING POLE AND FISH, FRENCH FRIES",,PUNY_IDNA
tvez,,,,4L
lifetimelimit,,,,
cosmikdust,,,,
chapuria,,,,
kerath,,,,
xn--oyster-o825e,🦪oyster,Letters + OYSTER,,PUNY_IDNA
cosmicwisdom,,,,
urfahrwand,,,,
xn--wfrr87a,手办,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
mokyn,,,,5L
nurseship,,,,
xn--h0d0a3rtn,ተጫዋች,"Letters + ETHIOPIC SYLLABLE TA, ETHIOPIC SYLLABLE CHAA, ETHIOPIC SYLLABLE WAA, ETHIOPIC SYLLABLE CE",,PUNY_IDNA
xn--2-636b,2月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--56hx971o,🤩♾,"Letters + GRINNING FACE WITH STAR EYES, PERMANENT PAPER SIGN",,PUNY_IDNA
xn--f7ix929m,⭐🪰,"Letters + WHITE MEDIUM STAR, FLY",,PUNY_IDNA
xn--qq8h3i54j,📷👨🦱,"Letters + CAMERA, MAN, EMOJI COMPONENT CURLY HAIR",,PUNY_IDNA
xn--81b9a9b,मजा,Devanagari (Hindi),,"PUNY_IDNA,Hindi"
xn--n77hma03l,🇯🇵🏍,"Letters + REGIONAL INDICATOR SYMBOL LETTER J, REGIONAL INDICATOR SYMBOL LETTER P, RACING MOTORCYCLE",,PUNY_IDNA
xn--tu8hm0e,📷🤝,"Letters + CAMERA, HANDSHAKE",,PUNY_IDNA
reductivism,,,,
xn--9j8ho4b,🎆😍,"Letters + FIREWORKS, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
speciesoffish,,,,
centurycu,,,,
oudini,,,,
xn--zbss4c,回复,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
888web,,,,
cariva,,,,
xn--gmq052a1idqui,安人心智,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
seaworn,,,,
shitfight,,,,
earthdrive,,,,
ddwww,,,,5L
fishdirect,,,,
repolished,,,,
windysurf,,,,
xn--8o8h7f,💕🐴,TWO HEARTS + HORSE FACE,,PUNY_IDNA
xn--mgbup0cj,القرض,Arabic/Urdu/Uyghur,,"PUNY_IDNA,Arabic"
xn--ns8hxes0b,📷😵💫,"Letters + CAMERA, DIZZY FACE, DIZZY SYMBOL",,PUNY_IDNA
natural-law,,,,
harbormate,,,,
xn--z3d3e,ጎያ,"Letters + ETHIOPIC SYLLABLE GO, ETHIOPIC SYLLABLE YAA",,PUNY_IDNA
waterprice,,,,
disabledworld,,,,
webrief,,,,
moreapps,,,,
seespot,,,,
xn--oo8hv4a,😋🐠,"Letters + FACE SAVOURING DELICIOUS FOOD, TROPICAL FISH",,PUNY_IDNA
bluelickwater,,,,
niceblunt,,,,
xn--2m8hk8a,🏨😍,"Letters + HOTEL, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
fishytails,,,,
majava,,,,
twoness,,,,
wernersdorf,,,,
waterstudy,,,,
xn--ibiv788m,⛳🔗,"Letters + FLAG IN HOLE, LINK SYMBOL",,PUNY_IDNA
mintsite,,,,
sendtransfer,,,,
hotimg,,,,
weberberg,,,,
wackers,,,,
donaram,,,,
xn--nnuo6i,戈朗,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
watersidepaths,,,,
walddorf,,,,
villmannsdorf,,,,
v414v,,,,5C
qauk,,,,4L
ch32,,,,4C
xn--4o8hx3f,🤬🐰,SERIOUS FACE WITH SYMBOLS COVERING MOUTH + RABBIT FACE,,PUNY_IDNA
adayoff,,,,
xn--g77hwa48o,🇨🇳👁,"Letters + REGIONAL INDICATOR SYMBOL LETTER C, REGIONAL INDICATOR SYMBOL LETTER N, EYE",,PUNY_IDNA
free2u,,,,
bravewind,,,,
penpushers,,,,
unzdorf,,,,
theorizies,,,,
elburrito,,,,
xn--qtr38n,宝咂,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
fanfishes,,,,
web3spider,,,,
desalinization,,,,
xn--oz-m352akc,🇦🇺oz,REGIONAL INDICATOR SYMBOL LETTER A + REGIONAL INDICATOR SYMBOL LETTER U + LATIN SMALL LETTER O + LATIN SMALL LETTER Z,,PUNY_IDNA
underwaterlife,,,,
asiancow,,,,
roofwater,,,,
waterdiver,,,,
watermovie,,,,
obstructionistic,,,,
moonlightonwater,,,,
famish,,,,
whalemagic,,,,
xn--gdvp76a,敬畏,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
lifetimeword,,,,
parkfried,,,,
surfista,,,,
kadidi,,,,
justarts,,,,
australiangrown,,,,
xn--yxd2dvjseyy,መንግስት,"Letters + ETHIOPIC SYLLABLE MA, ETHIOPIC SYLLABLE NE, ETHIOPIC SYLLABLE GE, ETHIOPIC SYLLABLE SE, ETHIOPIC SYLLABLE TE",,PUNY_IDNA
waterdoor,,,,
eliminant,,,,
morename,,,,
tideofthings,,,,
boatllc,,,,
maxfoods,,,,
xn--w4hw781o,☯🤑,"Letters + YIN YANG, MONEY-MOUTH FACE",,PUNY_IDNA
udderlysmooth,,,,
midbowman,,,,
genome,,,,
newmediaslive,,,,
lateens,,,,
sailbear,,,,
boatmusic,,,,
gossipry,,,,
veganfta,,,,
xn--3d-bzbb,3̼d̼,"Letters + COMBINING SEAGULL BELOW, COMBINING SEAGULL BELOW",,PUNY_IDNA
xn--56h5800o,💀♾,"Letters + SKULL, PERMANENT PAPER SIGN",,PUNY_IDNA
itaucorp,,,,
cosmic-ai,,,,
kienzerle,,,,
seagrant,,,,
shht,,,,4L
ecoyachts,,,,
xn--sprr0j,壽司,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
peze,,,,4L
cayp,,,,4L
overdare,,,,
manftrades,,,,
catandrat,,,,
chasetree,,,,
handshake-hns,,,,
warstars,,,,
anonymo,,,,
