domains,unicode,descript-IDNA,translate-IDNA,tags
bighealth,,,,
xn--6yde4vwt,ጥቃቅን,"Letters + ETHIOPIC SYLLABLE THE, ETHIOPIC SYLLABLE QAA, ETHIOPIC SYLLABLE QE, ETHIOPIC SYLLABLE NE",,PUNY_IDNA
xn--lxde5mxe,በቀላል,"Letters + ETHIOPIC SYLLABLE BA, ETHIOPIC SYLLABLE QA, ETHIOPIC SYLLABLE LAA, ETHIOPIC SYLLABLE LE",,PUNY_IDNA
veichltal,,,,
moreroad,,,,
stereofoto,,,,
ch24,,,,4C
greennrg,,,,
xn--zlv572c,暗網,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
hyperbiz,,,,
totemism,,,,
sabatlar,,,,
ch71,,,,4C
xn--9hq5kk73n,亡丨语,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
absoluteyarn,,,,
kpass,,,,5L
nremsleep,,,,
xn--8-636b,8月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
preternaturalism,,,,
coralife,,,,
naturevillage,,,,
soilgift,,,,
shakespearefishing,,,,
xn--beachlife-u355h,🌊beachlife,Letters + WATER WAVE,,PUNY_IDNA
blinddev,,,,
circumfix,,,,
trainx,,,,
xn--2p8hq0f,👑🤙,"Letters + CROWN, CALL ME HAND",,PUNY_IDNA
zencorner,,,,
xn--dpqaaa,传传传传,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
domainame,,,,
tryone,,,,
xn--r3f,ᱵ,Letters + OL CHIKI LETTER OB,,PUNY_IDNA
seawaterpump,,,,
wampersdorf,,,,
boatingsupplies,,,,
forestphoto,,,,
fundamentalparticle,,,,
waldfeld,,,,
kinsdorf,,,,
scubashack,,,,
isuggire,,,,
catholicist,,,,
xn--qiq305abwg,小撸丸,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
acronystic,,,,
nvpc,,,,4L
escapefund,,,,
welsdorf,,,,
andropogon,,,,
dailyhero,,,,
cloudmode,,,,
ch46,,,,4C
routinists,,,,
viehdorf,,,,
xn--5-636b,5月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
hnsopia,,,,
xn--u1d6o,አዶ,"Letters + ETHIOPIC SYLLABLE GLOTTAL A, ETHIOPIC SYLLABLE DO",,PUNY_IDNA
fanwort,,,,
ecotinyhomes,,,,
seafoodplaces,,,,
hnssld,,,,
khunegg,,,,
nextfest,,,,
cb40,,,,4C
bespectacled,,,,
thingcoast,,,,
poiz,,,,4L
t-shirt,,,,
freedomainbank,,,,
xn--yxd8fogpn0f,መታወቂያ,"Letters + ETHIOPIC SYLLABLE MA, ETHIOPIC SYLLABLE TAA, ETHIOPIC SYLLABLE WA, ETHIOPIC SYLLABLE QI, ETHIOPIC SYLLABLE YAA",,PUNY_IDNA
unibag,,,,
vulturism,,,,
xn--rq8h1i84j,📷👩🦲,"Letters + CAMERA, WOMAN, EMOJI COMPONENT BALD",,PUNY_IDNA
meropia,,,,
hypelust,,,,
tallymark,,,,
xn--lp8h6k,👀📰,"Letters + EYES, NEWSPAPER",,PUNY_IDNA
xn--6-636b,6月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
klamberg,,,,
jettypier,,,,
earthour,,,,
lumoz,,,,5L
outhouses,,,,
xn--53t698h,远征,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
audir,,,,5L
hns4yr,,,,
finrific,,,,
runabouts,,,,
univillage,,,,
hetbeste,,,,
kinham,,,,
xn--g5hz430ozbd,📷🧔♂,"Letters + CAMERA, BEARDED PERSON, MALE SIGN",,PUNY_IDNA
vorderwinkel,,,,
xn--pyd89a,ሲዲ,"Letters + ETHIOPIC SYLLABLE SI, ETHIOPIC SYLLABLE DI",,PUNY_IDNA
manualist,,,,
guako,,,,5L
islenft,,,,
xn--qq8h3i24j,📷👨🦰,"Letters + CAMERA, MAN, EMOJI COMPONENT RED HAIR",,PUNY_IDNA
monkeybiz,,,,
oceaninvest,,,,
xn--59gz2nea,☮∞☯,"Letters + PEACE SYMBOL, INFINITY, YIN YANG",,PUNY_IDNA
rekk,,,,4L
puzzlepix,,,,
sunsetpics,,,,
xn--4gq79s1ybj94d,第一大团,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
apigov,,,,
xn--pg8hi2c,🌉😍,"Letters + BRIDGE AT NIGHT, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
xn--tao,,,,PUNY_INVALID
enplein,,,,
pseudos,,,,
wasserring,,,,
xn--kyd9k9o,ቱዶር,"Letters + ETHIOPIC SYLLABLE TU, ETHIOPIC SYLLABLE DO, ETHIOPIC SYLLABLE RE",,PUNY_IDNA
xn--e77hibv7c,🇦🇺🌊,"Letters + REGIONAL INDICATOR SYMBOL LETTER A, REGIONAL INDICATOR SYMBOL LETTER U, WATER WAVE",,PUNY_IDNA
wagham,,,,
xn--wcso80ahyv,美图控,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
heartmaster,,,,
cayk,,,,4L
mountainphotos,,,,
warnungs,,,,
picsee,,,,
8bid8,,,,5C
xn--yxd6a5c26b,መድረሻ,"Letters + ETHIOPIC SYLLABLE MA, ETHIOPIC SYLLABLE DE, ETHIOPIC SYLLABLE RA, ETHIOPIC SYLLABLE SHAA",,PUNY_IDNA
appdown,,,,
earthdust,,,,
xn--fiqv4aq9n72e,安佳中国,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
exotichns,,,,
happykitty,,,,
xn--rq8h1ih5j,📷👩🦳,"Letters + CAMERA, WOMAN, EMOJI COMPONENT WHITE HAIR",,PUNY_IDNA
xn--oz-o352akc,oz🇦🇺,LATIN SMALL LETTER O + LATIN SMALL LETTER Z + REGIONAL INDICATOR SYMBOL LETTER A + REGIONAL INDICATOR SYMBOL LETTER U,,PUNY_IDNA
shiningisland,,,,
sabarkend,,,,
couplecoach,,,,
precreation,,,,
bycicles,,,,
cashblocks,,,,
xn--hpab728el9qp4l,ʕಠᴥ❍ʔ,"Letters + LATIN LETTER PHARYNGEAL VOICED FRICATIVE, KANNADA LETTER TTHA, LATIN LETTER AIN, SHADOWED WHITE CIRCLE, LATIN LETTER GLOTTAL STOP",,PUNY_IDNA
unterwollan,,,,
travelpic,,,,
wagenhub,,,,
dotardism,,,,
parataxic,,,,
web3mium,,,,
nagged,,,,
ch22,,,,4C
ccwww,,,,5L
fishaboutin,,,,
apphoto,,,,
ok21,,,,4C
hospitalblockchain,,,,
xn--iy8hzb,🖕🕸,"Letters + REVERSED HAND WITH MIDDLE FINGER EXTENDED, SPIDER WEB",,PUNY_IDNA
paganity,,,,
xn--h4h8l,☠♾,"Letters + SKULL AND CROSSBONES, PERMANENT PAPER SIGN",,PUNY_IDNA
shadow3d,,,,
tallyadd,,,,
theshipstudio,,,,
herogear,,,,
tri-statehemp,,,,
endlessrabbithole,,,,
verditz,,,,
mutart,,,,
chipwood,,,,
ownhomes,,,,
coastalflowers,,,,
aleny,,,,5L
macnutz,,,,
sonywalkman,,,,
navyuniformshop,,,,
tatahitachico,,,,
xn--fcv,效,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--h4h7l,♾☠,"Letters + PERMANENT PAPER SIGN, SKULL AND CROSSBONES",,PUNY_IDNA
seapiece,,,,
seases,,,,
digenea,,,,
xn--6g8hnt,👑🌚,"Letters + CROWN, NEW MOON WITH FACE",,PUNY_IDNA
simplewin,,,,
adhdautism,,,,
cumbre,,,,
carijos,,,,
unterwollanig,,,,
occultaste,,,,
cuevapunta,,,,
xn--s1y,眛,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
qazaxlar,,,,
xn--12-5j8d,12月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
onlyonetime,,,,
xn--e77hibz7r,🗺🇦🇺,"Letters + WORLD MAP, REGIONAL INDICATOR SYMBOL LETTER A, REGIONAL INDICATOR SYMBOL LETTER U",,PUNY_IDNA
ofenegg,,,,
truthstorm,,,,
darwinfoundation,,,,
kylianne,,,,
draganici,,,,
ch80,,,,4C
bicyclingvacations,,,,
waldreichs,,,,
xn--m0d1r8b,ይዘት,"Letters + ETHIOPIC SYLLABLE YE, ETHIOPIC SYLLABLE ZA, ETHIOPIC SYLLABLE TE",,PUNY_IDNA
w414w,,,,5C
thefrontyard,,,,
xn--qg8h12b,🕸🌊,"Letters + SPIDER WEB, WATER WAVE",,PUNY_IDNA
vegx,,,,4L
xn--g7q10v2lx,孕写真,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
boxun,,,,5L
xn--65qq04c13kplm,六月的茶,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
mintink,,,,
smartplatform,,,,
dancecourses,,,,
brushwithdeath,,,,
hardfist,,,,
newsmedialife,,,,
xn--qq8h3iz4j,📷👨🦯,"Letters + CAMERA, MAN, PROBING CANE",,PUNY_IDNA
xn--qq8h3ih5j,📷👨🦳,"Letters + CAMERA, MAN, EMOJI COMPONENT WHITE HAIR",,PUNY_IDNA
kiblitz,,,,
apidapps,,,,
j414j,,,,5C
rvnft,,,,5L
diystores,,,,
xn--qg8h22b,🌊🕸,"Letters + WATER WAVE, SPIDER WEB",,PUNY_IDNA
nftmelbourne,,,,
eumail,,,,
ethunterz,,,,
kenndorf,,,,
heaveto,,,,
cutre,,,,5L
forehew,,,,
swimmingholes,,,,
handyplan,,,,
xn--v4h83a5671i,☮✊🏿,"Letters + PEACE SYMBOL, RAISED FIST, EMOJI MODIFIER FITZPATRICK TYPE-6",,PUNY_IDNA
outcomeocean,,,,
davidic,,,,
doabit,,,,
maculose,,,,
ecotool,,,,
earthtwo,,,,
xn--forex,又叒及,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
libidinist,,,,
antispastic,,,,
xn--cmr372e,爱卿,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
dighari,,,,
untedious,,,,
bingolinks,,,,
xn--qg8h7b,🌫🌊,"Letters + FOG, WATER WAVE",,PUNY_IDNA
k414k,,,,5C
fomosapien,,,,
xn--4o8hs3f,🐰🤩,RABBIT FACE + GRINNING FACE WITH STAR EYES,,PUNY_IDNA
tap2win,,,,
xn--0sqs95e,游侠,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
rv40,,,,4C
boatservices,,,,
convolutedstory,,,,
geckoconft,,,,
heathenist,,,,
flahr,,,,5L
xn--mnq52d,兔代,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
whispee,,,,
xn--hpab728efnz3s2l,ʕಠꈊ─ʔ,"Letters + LATIN LETTER PHARYNGEAL VOICED FRICATIVE, KANNADA LETTER TTHA, YI SYLLABLE KET, BOX DRAWINGS LIGHT HORIZONTAL, LATIN LETTER GLOTTAL STOP",,PUNY_IDNA
zzwww,,,,5L
newspec,,,,
xn--21xxx,獼牜,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
glass-house,,,,
agamogenesis,,,,
yangfamily,,,,
xn--ltu-bma,létu,Letters + LATIN SMALL LETTER E WITH ACUTE,,PUNY_IDNA
policesky,,,,
xn--xg8h5t,👑🌑,"Letters + CROWN, NEW MOON SYMBOL",,PUNY_IDNA
snarkify,,,,
nutextractor,,,,
hookwork,,,,
riveradventures,,,,
gemengraving,,,,
tipfish,,,,
seaforthia,,,,
nftambassador,,,,
xn--4dbhbca4b,הלוואה,Hebrew,,"PUNY_IDNA,Hebrew"
wohasghgvvvanx,,,,
kickenheim,,,,
xn--3k8hnw,🔊🎣,"Letters + SPEAKER WITH THREE SOUND WAVES, FISHING POLE AND FISH",,PUNY_IDNA
owaz,,,,4L
curryfish,,,,
xn--og8h62i,🌈🧘,"Letters + RAINBOW, PERSON IN LOTUS POSITION",,PUNY_IDNA
ahirt,,,,5L
xn--41d7d,ዊኪ,"Letters + ETHIOPIC SYLLABLE WI, ETHIOPIC SYLLABLE KI",,PUNY_IDNA
mawf,,,,4L
truthquarks,,,,
sweetfish,,,,
hnsclient,,,,
shipsupplies,,,,
whale-watch,,,,
knitwork,,,,
waasen,,,,
discorde,,,,
vordersauerwald,,,,
farholiday,,,,
xn--6oqv77aso8a,会计师,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
waldberg,,,,
caejywnoci,,,,
playact,,,,
xn--h95b,즁,Letters + HANGUL SYLLABLE JYUNG,,PUNY_IDNA
shiq,,,,4L
88b88,,,,5C
xn--prst60e,益处,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
umbrine,,,,
xn--lxd4psh,ክላብ,"Letters + ETHIOPIC SYLLABLE KE, ETHIOPIC SYLLABLE LAA, ETHIOPIC SYLLABLE BE",,PUNY_IDNA
seasocks,,,,
spanishmovies,,,,
spotlighted,,,,
xn--9my252c,生贡,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--k91ae,蚆蚈,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
absir,,,,5L
lawrule,,,,
aiyat,,,,5L
codegptdev,,,,
etchscratch,,,,
xn--lm8hm8f,🏗🤝,"Letters + BUILDING CONSTRUCTION, HANDSHAKE",,PUNY_IDNA
xn--w4r085g,嘉约,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--edu,悡,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
ungifted,,,,
xn--xv8h7o,😏🔞,SMIRKING FACE + NO ONE UNDER EIGHTEEN SYMBOL,,PUNY_IDNA
incomprensible,,,,
xn--fct73wj0lwol,智能家电,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
veldenamwortherseen,,,,
xn--h4h4750o,☠🕸,"Letters + SKULL AND CROSSBONES, SPIDER WEB",,PUNY_IDNA
cleanft,,,,
xn--gmqy7wu0bdy9d,舰大官人,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
verbannen,,,,
windfather,,,,
insectaria,,,,
boredapedreams,,,,
cantosujo,,,,
truthhost,,,,
hollyking,,,,
setafloat,,,,
ditchwater,,,,
justsell,,,,
tochinese,,,,
unlodge,,,,
silverizing,,,,
hetericism,,,,
xn--nxd2spe,አልት,"Letters + ETHIOPIC SYLLABLE GLOTTAL A, ETHIOPIC SYLLABLE LE, ETHIOPIC SYLLABLE TE",,PUNY_IDNA
fonetik,,,,
4seas,,,,5C
flippingreatdomains,,,,
xn--easy-yga,easy®,Letters + REGISTERED SIGN,,PUNY_IDNA
maxnames,,,,
temptia,,,,
wawn,,,,4L
unterzeiss,,,,
naturepic,,,,
freepdfeditor,,,,
recipefor,,,,
firewisp,,,,
erthen,,,,
tadgedryja,,,,
podophyllous,,,,
xn--g77hwa54o,🇨🇳🐴,REGIONAL INDICATOR SYMBOL LETTER C + REGIONAL INDICATOR SYMBOL LETTER N + HORSE FACE,,PUNY_IDNA
neo-absurdism,,,,
ahoy-hoy,,,,
zh888,,,,5C
xn--r77hna695c,🇺🇳🤝,"Letters + REGIONAL INDICATOR SYMBOL LETTER U, REGIONAL INDICATOR SYMBOL LETTER N, HANDSHAKE",,PUNY_IDNA
renatured,,,,
heaveinview,,,,
vorderweisspriach,,,,
wogfhhaabnasde,,,,
capatana,,,,
monometers,,,,
clearance1hns,,,,
bambos,,,,
atdusk,,,,
actionsea,,,,
xn--7gqu0nv9fxx4d,七味子酱,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
triptrail,,,,
tidegauge,,,,
nahualism,,,,
bitcoincrook,,,,
xn--xg8hial,🌑🌙🌕,"Letters + NEW MOON SYMBOL, CRESCENT MOON, FULL MOON SYMBOL",,PUNY_IDNA
z1n3,,,,4C
ecoessentials,,,,
kirchham,,,,
sitotoxin,,,,
weindlau,,,,
glowmore,,,,
gosalt,,,,
raintanks,,,,
fairmedia,,,,
utschthal,,,,
timici,,,,
etheu,,,,5L
lovementor,,,,
cameracan,,,,
retweetandfav,,,,
ch28,,,,4C
budgeree,,,,
traderat,,,,
deviart,,,,
armything,,,,
xn--iy8h1b,🖖🕸,"Letters + RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS, SPIDER WEB",,PUNY_IDNA
t691,,,,4C
newstree,,,,
mutationist,,,,
01km,,,,4C
gamomachia,,,,
concordi,,,,
sixxxxxx,,,,
knapsacked,,,,
xn--i8s110l,雷子,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--ks8h3ep8a,📷😮💨,"Letters + CAMERA, FACE WITH OPEN MOUTH, DASH SYMBOL",,PUNY_IDNA
valleu,,,,
xn--4gqt5yruvxp1ba,一大班鳮鳮,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
brachypterous,,,,
daoreg,,,,
aeolotropic,,,,
andabeer,,,,
spendpower,,,,
xn--r77hya21z,🇳🇿😀,REGIONAL INDICATOR SYMBOL LETTER N + REGIONAL INDICATOR SYMBOL LETTER Z + GRINNING FACE,,PUNY_IDNA
ch57,,,,4C
tidaltank,,,,
lafoto,,,,
bi11,,,,4C
ch38,,,,4C
foodoir,,,,
cuestita,,,,
wasserhofen,,,,
tricolored,,,,
lifetapestry,,,,
forewritten,,,,
ofnames,,,,
bosspeak,,,,
seapixel,,,,
takemetotheriver,,,,
phonophone,,,,
xn--i1xu9n,版税,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--rq8h1iz4j,📷👩🦯,"Letters + CAMERA, WOMAN, PROBING CANE",,PUNY_IDNA
xn--u1d8m,አይ,"Letters + ETHIOPIC SYLLABLE GLOTTAL A, ETHIOPIC SYLLABLE YE",,PUNY_IDNA
fishpurple,,,,
kibahassmallpp,,,,
xn--4gqx7jnva,向一北,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
seablockchain,,,,
hnsaus,,,,
xn--9g8hht,👑🌝,"Letters + CROWN, FULL MOON WITH FACE",,PUNY_IDNA
xn--sound,戰扙,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
assio,,,,5L
xn--e77hib449a,🇦🇺🥰,REGIONAL INDICATOR SYMBOL LETTER A + REGIONAL INDICATOR SYMBOL LETTER U + SMILING FACE WITH SMILING EYES AND THREE HEARTS,,PUNY_IDNA
erraticism,,,,
tidefly,,,,
klaubling,,,,
wavefinder,,,,
4dags,,,,5C
switchsea,,,,
watertravel,,,,
dinosaurset,,,,
beridof,,,,
xn--0zd6bwp,ውበት,"Letters + ETHIOPIC SYLLABLE WE, ETHIOPIC SYLLABLE BA, ETHIOPIC SYLLABLE TE",,PUNY_IDNA
xn--otx163g,鱼然,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
qasad,,,,5L
pezx,,,,4L
reefnft,,,,
xn--nxd3e2pja17d,አሰልጣኝ,"Letters + ETHIOPIC SYLLABLE GLOTTAL A, ETHIOPIC SYLLABLE SA, ETHIOPIC SYLLABLE LE, ETHIOPIC SYLLABLE THAA, ETHIOPIC SYLLABLE NYE",,PUNY_IDNA
wasendorf,,,,
4buoy,,,,5C
i-hub,,,,5C
fencein,,,,
kennelbach,,,,
xn--8o8h8f,🐴💕,HORSE FACE + TWO HEARTS,,PUNY_IDNA
xn--fair-cqa,faðir,Letters + LATIN SMALL LETTER ETH,,PUNY_IDNA
jampam,,,,
nameopen,,,,
saillay,,,,
safewaterfilter,,,,
ch36,,,,4C
ozmeta,,,,
worldhealthnews,,,,
factorist,,,,
xn--t7h9100oima,📷👨⚕,"Letters + CAMERA, MAN, STAFF OF AESCULAPIUS",,PUNY_IDNA
xn--pg8hh2c,😍🌉,"Letters + SMILING FACE WITH HEART-SHAPED EYES, BRIDGE AT NIGHT",,PUNY_IDNA
powerspend,,,,
fishcakerecipe,,,,
kiesenberg,,,,
webersberg,,,,
tristatehemp,,,,
xn--noodles-o974f,🍜noodles,Letters + STEAMING BOWL,,PUNY_IDNA
slashetch,,,,
crownt,,,,
xn--g1q,僇,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
charatipara,,,,
nerrd,,,,5L
keuschen,,,,
vergross,,,,
bosunschair,,,,
byud,,,,4L
waldzell,,,,
seaducks,,,,
lansare,,,,
xn--ho8h94a,😋🐙,"Letters + FACE SAVOURING DELICIOUS FOOD, OCTOPUS",,PUNY_IDNA
thetaichischool,,,,
8yyy8,,,,5C
harbormaster,,,,
xn--cyberpunk,࢓ࢧ࢟ࢣ࢛ࢥ࢕,"Letters + ࢓, ARABIC LETTER MEEM WITH THREE DOTS ABOVE, ARABIC HALF MADDA OVER MADDA, ARABIC LETTER TAH WITH TWO DOTS ABOVE, ARABIC SMALL LOW WORD TASHEEL, ARABIC LETTER QAF WITH DOT BELOW, ࢕",,PUNY_IDNA
survival-skills,,,,
knowblockchain,,,,
uniquetree,,,,
kernhof,,,,
nonsatire,,,,
nzrd,,,,4L
milestonez,,,,
wordflow,,,,
xn--1996-uz33cpd,🇦🇺1996,REGIONAL INDICATOR SYMBOL LETTER A + REGIONAL INDICATOR SYMBOL LETTER U + DIGIT ONE + DIGIT NINE + DIGIT NINE + DIGIT SIX,,PUNY_IDNA
xn--qei0818mqka,❤🎅🏿,"Letters + HEAVY BLACK HEART, FATHER CHRISTMAS, EMOJI MODIFIER FITZPATRICK TYPE-6",,PUNY_IDNA
cryptickatz,,,,
teareport,,,,
nolang,,,,
walchegg,,,,
theworldshotz,,,,
schizothymia,,,,
xn--e5h3430ozbd,📷🧔♀,"Letters + CAMERA, BEARDED PERSON, FEMALE SIGN",,PUNY_IDNA
firetactics,,,,
lobbyman,,,,
colouroffire,,,,
newspapersonline,,,,
hedgewizard,,,,
beachphotos,,,,
seefooddiet,,,,
uberqueren,,,,
urbersdorf,,,,
xn--cgu63x,治愈,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
unterwuhr,,,,
joyoflearning,,,,
888cn,,,,5C
waldkirchenamwesen,,,,
sulmaz,,,,
journeyofmylife,,,,
xn--49s82e,安庆,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
v001,,,,4C
unityuniverse,,,,
unterzeiring,,,,
dobring,,,,
0xtrend,,,,
medianewslife,,,,
xn--8pr851fjxg,联合的,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
eatcrazy,,,,
ppxe,,,,4L
xn--9j8hn4b,😍🎆,"Letters + SMILING FACE WITH HEART-SHAPED EYES, FIREWORKS",,PUNY_IDNA
newlivemedias,,,,
timegrab,,,,
testhns,,,,
hillroad,,,,
xn--tu8hu9ezc,📷🧑🦱,"Letters + CAMERA, ADULT, EMOJI COMPONENT CURLY HAIR",,PUNY_IDNA
2--u,,,,4C
autrina,,,,
0xjpegs,,,,
nextauthor,,,,
xn--mg8ho2c,🌆😍,"Letters + CITYSCAPE AT DUSK, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
justship,,,,
sweetio,,,,
seacritters,,,,
freegovernment,,,,
chandrakilla,,,,
australiantourism,,,,
attractivist,,,,
xn--4kqp8i97u,十二月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
ensdb,,,,5L
xn--mt7hr0h,😍🀄,"Letters + SMILING FACE WITH HEART-SHAPED EYES, MAHJONG TILE RED DRAGON",,PUNY_IDNA
youtubehowto,,,,
l414l,,,,5C
analfan,,,,
nyctrade,,,,
coralbleaching,,,,
voidersdorf,,,,
8bud8,,,,5C
xn--kkrv36b4sl,暗白十,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--b6hgge,♠♣♥♦,"Letters + BLACK SPADE SUIT, BLACK CLUB SUIT, BLACK HEART SUIT, BLACK DIAMOND SUIT",,PUNY_IDNA
valentinshaft,,,,
heaveintosight,,,,
xn--rss41d,天宫,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
seascapeart,,,,
xn--syd2g4jrw,ፌስቡክ,"Letters + ETHIOPIC SYLLABLE FEE, ETHIOPIC SYLLABLE SE, ETHIOPIC SYLLABLE BU, ETHIOPIC SYLLABLE KE",,PUNY_IDNA
xn--6l8hmdu6p,🏉🦶🏿,"Letters + RUGBY FOOTBALL, FOOT, EMOJI MODIFIER FITZPATRICK TYPE-6",,PUNY_IDNA
yogeeism,,,,
miscarry,,,,
xn--7et36u,星尘,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
coastbird,,,,
xn--yr8hqa,💓💛,BEATING HEART + YELLOW HEART,,PUNY_IDNA
johnny-jump-up,,,,
nftreef,,,,
charcoronation,,,,
yentai,,,,
sexxxyblondes,,,,
stablenfts,,,,
vordersdorf,,,,
threepictures,,,,
birdlook,,,,
n414n,,,,5C
4bris,,,,5C
toholdwater,,,,
peacehome,,,,
pontoonsforsale,,,,
xn--sm8h38a,😍🏞,"Letters + SMILING FACE WITH HEART-SHAPED EYES, NATIONAL PARK",,PUNY_IDNA
rvmart,,,,
o414o,,,,5C
upshitcreekinabarbwirecanoe,,,,
newfangled,,,,
todaysheadlines,,,,
skategoat,,,,
xn--nm8hi9a,🏙😍,"Letters + CITYSCAPE, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
exoticyachts,,,,
water-pipe,,,,
xn--3-636b,3月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
charbagala,,,,
kiking,,,,
xn--qyd6sle,ወሳኝ,"Letters + ETHIOPIC SYLLABLE WA, ETHIOPIC SYLLABLE SAA, ETHIOPIC SYLLABLE NYE",,PUNY_IDNA
monthlymeals,,,,
xn--qg8hg2c,🌊😍,"Letters + WATER WAVE, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
apathism,,,,
werberg,,,,
xn--rz8hzi,😱🖤,FACE SCREAMING IN FEAR + BLACK HEART,,PUNY_IDNA
carpfish,,,,
vichtau,,,,
wildwaves,,,,
xn--hpab728e3bw38i,ʕಠᴥರʔ,"Letters + LATIN LETTER PHARYNGEAL VOICED FRICATIVE, KANNADA LETTER TTHA, LATIN LETTER AIN, KANNADA LETTER RA, LATIN LETTER GLOTTAL STOP",,PUNY_IDNA
truthspins,,,,
youranon,,,,
seamossgel,,,,
amazingfish,,,,
water-sport,,,,
navaids,,,,
01etc,,,,5C
furriends,,,,
metabearz,,,,
watervirus,,,,
vorderschroffenau,,,,
xn--57hxk,⛳⚡,"Letters + FLAG IN HOLE, HIGH VOLTAGE SIGN",,PUNY_IDNA
bushfurniture,,,,
angerdao,,,,
xn--4o8h33f,🤯🐰,SHOCKED FACE WITH EXPLODING HEAD + RABBIT FACE,,PUNY_IDNA
kienburg,,,,
lossoflife,,,,
ironists,,,,
lifetlds,,,,
xn--cloud,䔁䔩,"Letters + CJK UNIFIED IDEOGRAPH-4501, CJK UNIFIED IDEOGRAPH-4529",,PUNY_IDNA
burnhold,,,,
midnightwater,,,,
fungusgnat,,,,
teaillegal,,,,
goodonya,,,,
aboriginals,,,,
medialifenews,,,,
mildish,,,,
yphy,,,,4L
xn--fiq73fnvbuz3e,中医养生,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
botset,,,,
oreol,,,,5L
sailwar,,,,
livingsail,,,,
vericus,,,,
xn--2lz1j,禾稼,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
australiantaxoffice,,,,
xn--wg8hr6d,🛹🌐,"Letters + SKATEBOARD, GLOBE WITH MERIDIANS",,PUNY_IDNA
heaveintoview,,,,
familyroots,,,,
xn--7dvr85a,甄文,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
tablewater,,,,
4folk,,,,5C
daoclass,,,,
picrific,,,,
rawnews,,,,
weissee,,,,
bindowe,,,,
xn--fxdq0x,ባህል,"Letters + ETHIOPIC SYLLABLE BAA, ETHIOPIC SYLLABLE HE, ETHIOPIC SYLLABLE LE",,PUNY_IDNA
earsea,,,,
oldswag,,,,
knowaholic,,,,
byuk,,,,4L
zendoctor,,,,
rvfans,,,,
bookz,,,,5L
yeah-no,,,,
